Id,Raw DDOT - GFLOP/s,Raw WAXPBY - GFLOP/s,Raw SpMV - GFLOP/s,Raw MG - GFLOP/s,Raw Total - GFLOP/s,Total with convergence overhead - GFLOP/s,Total with convergence and optimization phase overhead - GFLOP/s,Optimization phase time (sec),Optimization phase time vs reference SpMV+MG time,Min DDOT MPI_Allreduce time,Max DDOT MPI_Allreduce time,Avg DDOT MPI_Allreduce time,Optimization phase - Execution Time (s),DDOT - Execution Time (s),WAXPBY - Execution Time (s),SpMV - Execution Time (s),MG - Execution Time (s),Total - Execution Time (s),Result - GFLOP/s
I32-REF-1,1.48933,2.8741,19.2533,1.86949,2.16038,2.11801,2.01385,2.89991e-07,5.53656e-05,0.00209522,0.00209522,0.00209522,2.89991e-07,0.23718,0.122904,0.157029,8.96531,9.48464,2.01385
I32-REF-2,1.2411,4.27781,20.5516,2.62008,2.96441,2.96441,2.85944,3.87896e-07,5.54484e-05,0.0607702,0.416515,0.238643,3.87896e-07,0.43057,0.124919,0.224972,9.79435,10.5769,2.85944
I32-REF-4,0.0958912,0.302022,2.29107,1.40599,1.13854,1.13854,1.12545,3.68594e-06,0.000101918,1.18289,1.76032,1.4686,3.68594e-06,2.06399,0.655312,0.755383,6.84278,10.3179,1.12545
I32-ZCY-1,3.46187,2.45002,16.4366,0.544081,0.655816,0.596196,0.58569,0.0217111,4.03597,0.00111909,0.00111909,0.00111909,0.0217111,0.0345676,0.0488441,0.0622562,10.441,10.5874,0.58569
I32-ZCY-2,1.95931,3.84345,21.6883,0.907007,1.08406,1.04237,1.02636,0.0255614,3.58038,0.0619533,0.0809872,0.0714703,0.0255614,0.0945254,0.0481871,0.0738468,9.80826,10.0254,1.02636
I32-ZCY-4,0.0948123,0.642179,4.14213,0.831366,0.81654,0.800529,0.793859,0.0279039,0.903807,1.03825,1.68011,1.33153,0.0279039,1.70316,0.251457,0.340804,9.44304,11.7388,0.793859
I32-LMB-1,3.50953,2.78064,11.89,3.73747,4.1231,3.32508,3.07767,0.00564414,0.882237,0.00303898,0.00303898,0.00303898,0.00564414,0.188567,0.237996,0.4753,8.41121,9.31617,3.07767
I32-LMB-2,2.90322,5.0514,18.9167,5.83942,6.35784,5.388,5.03139,0.00686808,0.891731,0.100293,0.211025,0.155659,0.00686808,0.393773,0.226316,0.521845,9.41098,10.5559,5.03139
I32-LMB-4,1.1469,6.85796,26.0906,8.10221,8.06918,6.83829,6.41621,0.00881076,0.623772,0.365204,1.07878,0.71034,0.00881076,1.22055,0.20412,0.468223,8.40705,10.3024,6.41621
I64-REF-1,4.92026,6.48863,6.66604,1.43768,1.67193,1.67193,1.60949,9.39902e-06,0.000170854,0.00087229,0.00087229,0.00087229,9.39902e-06,0.0643604,0.0488038,0.41981,10.8385,11.3726,1.60949
I64-REF-2,3.74718,9.8358,7.13837,2.70187,3.02893,3.02893,2.92476,9.11194e-06,0.000144884,0.0391568,0.0891996,0.0641782,9.11194e-06,0.169018,0.0643913,0.788191,11.6045,12.6272,2.92476
I64-REF-4,0.945974,8.3193,13.0208,4.8783,5.03043,5.03043,4.85943,2.57394e-06,3.51046e-05,0.139703,0.943541,0.585381,2.57394e-06,1.00427,0.114193,0.651576,9.69929,11.4702,4.85943
I64-ZCY-1,8.83842,8.10598,7.31339,1.90828,2.20464,2.16141,2.03728,0.233486,4.20725,0.00135906,0.00135906,0.00135906,0.233486,0.0456758,0.0498029,0.487692,10.4112,10.9957,2.03728
I64-ZCY-2,3.29214,9.31149,6.74843,2.78991,3.10105,3.10105,2.95826,0.268037,4.15161,0.103474,0.147469,0.125471,0.268037,0.192379,0.068017,0.833735,11.2382,12.3335,2.95826
I64-ZCY-4,1.07884,10.725,12.5992,4.74506,4.96743,4.77638,4.59954,0.263384,3.39916,0.147682,0.869579,0.495267,0.263384,0.915577,0.0920984,0.699782,10.3705,12.0789,4.59954
I64-LMB-1,8.97248,8.18198,8.86225,5.0747,5.49236,4.65454,4.17474,0.0447676,0.789156,0.00299179,0.00299179,0.00299179,0.0447676,0.104011,0.11406,0.928748,9.05825,10.2079,4.17474
I64-LMB-2,7.87061,10.1061,8.10605,4.74757,5.13811,4.28175,4.06315,0.049008,0.783218,0.0436895,0.0993576,0.0715236,0.049008,0.12057,0.0938995,1.03775,9.90624,11.1599,4.06315
I64-LMB-4,0.824467,13.0754,15.5856,7.09254,6.83466,5.89195,5.66048,0.0466616,0.655425,0.0281896,1.70769,0.866353,0.0466616,1.78055,0.112273,0.839649,10.3182,13.0518,5.66048
I128-REF-1,7.14111,5.46681,5.98408,1.43169,1.65868,1.65868,1.59712,9.18296e-06,1.82151e-05,0.000368415,0.000368415,0.000368415,9.18296e-06,0.0886893,0.115852,0.950151,22.1666,23.3247,1.59712
I128-REF-2,2.864,5.38973,7.07849,2.73187,3.03167,3.03167,2.92623,7.94011e-06,1.41331e-05,0.139623,0.315994,0.227809,7.94011e-06,0.442277,0.235017,1.6107,23.3039,25.5958,2.92623
I128-REF-4,1.10399,9.82336,13.5352,4.95283,5.18256,5.18256,5.01613,9.47004e-06,1.47348e-05,0.463566,2.19884,1.34436,9.47004e-06,2.29473,0.257891,1.68911,25.7855,30.0316,5.01613
I128-ZCY-1,8.85334,6.91728,6.54164,3.86786,4.1868,4.1047,3.6706,2.25807,4.54624,0.000725549,0.000725549,0.000725549,2.25807,0.145916,0.186756,1.77242,16.7382,18.8495,3.6706
I128-ZCY-2,3.47595,5.67941,6.08598,5.58488,5.59711,5.28029,4.89689,2.29473,4.05666,0.198852,0.282968,0.24091,2.29473,0.386133,0.236323,1.98357,12.0832,14.6932,4.89689
I128-ZCY-4,1.02402,9.85774,10.4675,8.5736,7.85489,7.41027,7.00771,2.28475,3.76237,0.231159,2.50484,1.35936,2.28475,2.62138,0.272309,2.31261,15.7896,20.9996,7.00771
I128-LMB-1,8.59639,6.76788,7.12131,3.33546,3.68932,2.88228,2.69904,0.366466,0.713918,0.000490433,0.000490433,0.000490433,0.366466,0.0941675,0.119609,1.01759,12.1787,13.4137,2.69904
I128-LMB-2,4.73666,5.74153,8.05262,3.81384,4.17059,3.15954,3.0428,0.400591,0.703794,0.185816,0.1986,0.192208,0.400591,0.352428,0.290747,1.86004,22.0343,24.5414,3.0428
I128-LMB-4,0.796189,9.58123,15.0143,5.87965,5.82915,4.41603,4.29291,0.392269,0.635656,0.0823854,4.01945,2.0038,0.392269,4.19331,0.348459,2.00041,28.6716,35.218,4.29291
I256-REF-1,7.52042,4.48284,6.62944,1.43322,1.66488,1.66488,1.60515,9.98494e-06,2.55092e-06,0.000519744,0.000519744,0.000519744,9.98494e-06,0.673728,1.13025,6.91527,178.755,187.505,1.60515
I256-REF-2,3.97807,4.60966,7.07094,2.72662,3.03564,3.03564,2.92941,8.58097e-06,2.05775e-06,1.59527,2.08859,1.84193,8.58097e-06,2.54732,2.19831,12.9839,188.204,205.965,2.92941
I256-REF-4,1.00798,8.75468,13.4244,4.95621,5.14196,5.14196,4.97557,4.77e-06,9.9179e-07,1.32695,19.1401,10.7647,4.77e-06,20.1064,2.31498,13.6957,207.39,243.538,4.97557
I256-ZCY-1,7.39925,4.32982,5.49516,5.29793,5.32855,4.93384,4.32294,19.6548,5.06814,0.000572434,0.000572434,0.000572434,19.6548,0.739179,1.26319,8.99701,52.2261,63.2572,4.32294
I256-ZCY-2,4.12431,4.5498,5.81136,7.01672,6.67677,6.29884,5.72979,24.1707,5.79328,1.63686,1.67689,1.65688,24.1707,2.60345,2.35997,16.7274,77.5222,99.2448,5.72979
I256-ZCY-4,0.405075,8.42725,11.6443,8.61919,6.67852,6.30049,5.98701,24.6486,5.00652,5.41679,51.9093,29.0618,24.6486,53.0145,2.54826,16.7182,126.409,198.721,5.98701
I256-LMB-1,7.34184,4.08306,6.14533,2.94948,3.24132,2.4189,2.28353,3.10228,0.784226,0.000685674,0.000685674,0.000685674,3.10228,0.923201,1.66003,9.94672,116.394,128.954,2.28353
I256-LMB-2,4.7918,4.50886,7.781,3.56995,3.90789,2.8318,2.73916,3.05824,0.70982,1.57305,2.59888,2.08596,3.05824,2.91303,3.09583,16.1948,198.368,220.603,2.73916
I256-LMB-4,0.459825,8.41085,12.6323,4.98832,4.68699,3.44632,3.37074,3.26485,0.667751,2.88318,60.6443,31.8083,3.26485,59.8371,3.27133,19.6913,280.235,363.065,3.37074
